latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
6.29174,124.9456,315.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²)
2016-07-22,28.9,22.4,2.50,18.32
2016-07-23,29.0,22.8,2.60,19.85
2016-07-24,29.2,22.8,5.30,18.14
2016-07-25,29.2,22.7,9.10,17.80
2016-07-26,28.7,22.7,8.60,16.39
2016-07-27,27.9,23.2,15.70,15.55
2016-07-28,27.1,22.9,20.40,10.74
2016-07-29,27.3,22.6,12.60,14.00
2016-07-30,28.4,22.9,14.50,14.13
2016-07-31,26.1,23.0,12.50,6.36
2016-08-01,29.4,22.4,0.30,15.94
2016-08-02,28.9,22.2,8.50,18.79
2016-08-03,28.9,22.5,13.60,17.90
2016-08-04,27.8,22.9,13.20,14.71
2016-08-05,26.5,22.1,7.60,9.26
2016-08-06,28.7,22.5,4.00,19.68
2016-08-07,29.3,22.1,0.50,20.00
2016-08-08,29.6,22.5,0.00,17.94
2016-08-09,29.4,22.8,0.00,20.19
2016-08-10,29.5,22.0,0.00,23.44
2016-08-11,30.3,22.4,0.00,24.26
2016-08-12,30.1,22.5,2.10,23.08
2016-08-13,29.6,23.4,3.70,20.19
2016-08-14,29.4,23.2,1.60,20.37
2016-08-15,29.1,23.7,0.60,17.66
2016-08-16,29.8,23.3,1.30,19.51
2016-08-17,29.6,22.8,2.10,20.02
2016-08-18,30.5,23.6,0.20,21.86
2016-08-19,29.1,23.3,7.50,16.78
2016-08-20,29.1,23.4,3.30,18.19
2016-08-21,28.4,23.1,7.00,15.94
2016-08-22,29.8,22.5,1.90,20.56
2016-08-23,28.7,22.1,4.70,15.74
2016-08-24,29.7,23.2,0.90,22.39
2016-08-25,29.6,23.1,9.30,20.11
2016-08-26,30.0,22.7,6.10,22.08
2016-08-27,29.7,22.6,3.80,20.98
2016-08-28,29.8,22.3,6.80,21.45
2016-08-29,29.8,22.7,0.90,22.14
2016-08-30,30.1,22.6,1.90,22.72
2016-08-31,29.2,22.8,3.60,18.30
2016-09-01,30.2,22.5,3.50,21.80
2016-09-02,29.7,22.6,6.50,20.85
2016-09-03,29.6,22.8,7.30,20.92
2016-09-04,28.7,22.5,8.00,15.87
2016-09-05,29.0,22.3,23.10,19.11
2016-09-06,28.8,22.7,17.60,19.56
2016-09-07,28.9,22.5,12.10,15.58
2016-09-08,28.2,22.5,11.10,16.78
2016-09-09,28.1,22.6,8.10,15.64
2016-09-10,28.9,22.4,10.80,16.21
2016-09-11,28.4,22.4,13.20,15.11
2016-09-12,28.3,22.8,2.80,16.57
2016-09-13,28.3,22.1,10.30,18.52
2016-09-14,28.5,22.6,7.00,21.22
2016-09-15,28.4,22.3,9.50,15.06
2016-09-16,29.3,22.1,1.50,20.71
2016-09-17,30.2,22.5,4.90,23.48
2016-09-18,30.1,23.3,10.60,20.94
2016-09-19,26.8,22.5,5.10,8.96
2016-09-20,28.1,22.8,7.50,14.49
2016-09-21,28.8,22.6,10.60,17.66
2016-09-22,29.7,22.4,2.70,21.65
2016-09-23,29.3,22.7,9.20,19.84
2016-09-24,28.8,22.8,10.60,18.97
2016-09-25,29.3,22.9,5.60,19.27
2016-09-26,29.0,22.5,9.10,15.96
2016-09-27,30.1,22.6,2.70,19.71
2016-09-28,29.7,23.1,5.00,18.11
2016-09-29,27.4,22.3,8.80,10.98
2016-09-30,28.9,22.9,3.40,19.61
2016-10-01,28.9,23.1,3.10,17.72
2016-10-02,28.7,23.0,10.40,15.00
2016-10-03,28.6,22.7,22.70,15.15
2016-10-04,28.2,22.9,20.20,12.47
2016-10-05,27.7,22.3,22.40,13.89
2016-10-06,29.0,22.6,13.40,18.18
2016-10-07,29.4,22.1,9.50,19.23
2016-10-08,29.5,23.5,90.30,19.77
2016-10-09,28.1,23.3,37.90,8.47
2016-10-10,28.3,23.0,4.60,12.00
2016-10-11,27.8,23.1,17.50,13.67
2016-10-12,26.8,22.3,9.70,12.34
2016-10-13,27.8,22.5,6.00,18.67
2016-10-14,29.2,22.9,1.80,20.37
2016-10-15,29.1,22.6,4.60,19.31
2016-10-16,29.2,22.6,9.90,17.82
2016-10-17,30.1,23.3,14.20,19.21
2016-10-18,29.1,23.0,15.20,15.78
2016-10-19,28.0,23.4,5.80,13.38
2016-10-20,29.3,22.9,19.40,15.54
2016-10-21,28.2,22.5,22.90,14.32
2016-10-22,29.9,22.8,11.10,20.10
2016-10-23,28.7,22.8,8.60,17.02
2016-10-24,29.2,22.7,6.80,19.49
2016-10-25,28.6,22.6,9.00,15.43
2016-10-26,27.5,22.5,14.70,14.32
2016-10-27,28.2,22.3,2.90,13.02
2016-10-28,26.8,23.3,106.20,9.36
2016-10-29,28.4,22.4,14.60,13.36
2016-10-30,28.8,22.7,8.90,16.37
2016-10-31,28.1,22.7,18.20,13.29
2016-11-01,27.5,22.6,29.90,13.14
2016-11-02,26.8,23.1,15.90,8.60
2016-11-03,27.6,22.1,12.90,14.35
2016-11-04,28.9,22.7,8.60,16.46
2016-11-05,27.6,23.1,14.20,9.68
2016-11-06,27.2,22.4,4.20,9.69
2016-11-07,29.0,22.8,2.20,18.16
2016-11-08,29.0,22.6,1.20,19.36
2016-11-09,29.0,22.4,26.20,18.52
2016-11-10,28.7,21.8,9.70,16.12
2016-11-11,28.6,22.7,8.40,15.16
2016-11-12,29.3,22.6,6.30,16.10
2016-11-13,29.5,22.7,3.20,18.65
2016-11-14,29.2,22.4,5.70,18.82
2016-11-15,30.0,22.2,14.60,20.35
2016-11-16,29.1,22.5,11.90,17.25
2016-11-17,28.4,22.8,17.60,12.97
2016-11-18,26.9,22.5,43.10,8.12
2016-11-19,28.6,22.6,10.80,15.18
2016-11-20,28.9,22.4,1.80,17.26
2016-11-21,29.7,22.4,0.00,22.28
2016-11-22,29.0,22.4,5.20,18.99
2016-11-23,27.2,23.1,22.00,9.50
2016-11-24,26.8,22.4,3.70,7.73
2016-11-25,29.2,23.2,11.70,16.94
2016-11-26,29.4,22.1,8.90,15.75
2016-11-27,29.9,22.9,7.40,18.71
2016-11-28,29.5,23.2,2.10,19.46
2016-11-29,28.8,21.8,13.10,16.00
2016-11-30,29.0,22.4,4.00,19.37
2016-12-01,29.3,22.5,1.40,19.32
2016-12-02,28.5,22.4,0.40,18.23
2016-12-03,27.7,22.7,22.40,11.04
2016-12-04,25.8,22.4,30.70,6.21
2016-12-05,27.5,22.0,1.50,9.96
2016-12-06,28.6,22.4,6.60,14.67
2016-12-07,28.4,22.4,19.10,12.89
2016-12-08,29.5,22.2,0.80,19.75
2016-12-09,29.4,22.7,8.70,19.94
2016-12-10,29.6,22.9,9.10,20.26
2016-12-11,29.7,22.7,8.40,18.38
2016-12-12,28.7,22.2,9.80,15.64
2016-12-13,28.7,21.8,13.00,14.09
2016-12-14,27.4,22.3,17.20,10.23
2016-12-15,28.9,22.2,14.70,14.57
2016-12-16,27.8,22.0,3.30,12.28
2016-12-17,28.7,22.1,8.30,15.79
2016-12-18,27.6,22.7,5.00,13.99
2016-12-19,28.5,22.3,0.40,16.12
2016-12-20,29.3,21.2,0.00,22.36
2016-12-21,29.0,22.4,0.50,19.99
2016-12-22,28.3,22.4,3.50,14.22
2016-12-23,28.7,22.7,3.70,14.10
2016-12-24,29.4,22.3,5.50,17.27
2016-12-25,30.1,22.9,9.10,18.99
2016-12-26,29.5,22.5,3.60,18.30
2016-12-27,29.1,21.8,4.10,16.78
2016-12-28,29.3,22.6,3.80,17.43
2016-12-29,29.3,22.7,0.20,16.74
2016-12-30,28.4,21.8,1.00,15.98
2016-12-31,27.2,21.8,6.30,10.88
2017-01-01,25.8,21.6,33.20,7.18
2017-01-02,27.0,22.1,7.80,13.72
2017-01-03,28.9,22.1,0.60,18.19
2017-01-04,27.5,22.2,8.10,12.54
2017-01-05,26.8,22.5,7.70,11.34
2017-01-06,25.2,22.2,23.80,8.40
2017-01-07,24.9,22.3,2.20,8.10
2017-01-08,27.1,23.1,0.10,17.97
2017-01-09,27.7,23.1,0.10,18.11
2017-01-10,29.0,20.7,0.70,19.53
2017-01-11,28.7,22.7,0.10,21.61
2017-01-12,28.2,22.2,1.60,19.83
2017-01-13,27.5,23.1,0.80,18.78
2017-01-14,28.2,23.9,1.70,20.22
2017-01-15,28.6,22.3,2.50,21.35
2017-01-16,28.1,22.0,8.20,13.45
2017-01-17,29.6,22.3,0.90,20.07
2017-01-18,27.0,22.5,55.90,13.70
2017-01-19,27.3,21.7,15.70,11.28
2017-01-20,27.1,22.4,8.80,12.31
2017-01-21,28.1,23.1,6.20,16.00
2017-01-22,27.9,21.4,1.40,14.95
2017-01-23,26.3,22.2,14.60,10.50
2017-01-24,27.6,22.4,1.80,12.40
2017-01-25,26.8,19.7,2.60,14.06
2017-01-26,26.6,20.4,0.50,18.57
2017-01-27,25.6,21.7,14.10,12.18
2017-01-28,25.1,21.9,26.00,4.98
2017-01-29,28.0,22.3,2.20,14.99
2017-01-30,26.8,23.0,2.10,13.62
2017-01-31,27.8,22.0,5.20,17.93
2017-02-01,28.1,21.5,32.30,19.09
2017-02-02,27.6,22.5,0.90,20.93
2017-02-03,26.4,22.3,2.90,17.35
2017-02-04,26.4,22.0,0.10,13.04
2017-02-05,28.9,23.7,0.10,23.64
2017-02-06,28.5,22.8,0.00,23.14
2017-02-07,29.3,23.3,0.00,21.52
2017-02-08,28.9,22.4,0.70,20.76
2017-02-09,28.1,22.6,3.60,20.03
2017-02-10,25.8,21.8,6.30,12.74
2017-02-11,27.6,21.8,0.90,19.10
2017-02-12,26.3,19.7,0.80,19.92
2017-02-13,26.1,19.7,0.00,22.81
2017-02-14,26.0,21.4,0.60,22.10
2017-02-15,25.5,21.3,32.10,7.23
2017-02-16,24.9,21.6,1.90,9.87
2017-02-17,28.4,22.2,21.70,15.52
2017-02-18,28.7,22.0,1.30,18.14
2017-02-19,27.7,23.0,4.40,18.42
2017-02-20,29.0,21.1,1.10,21.10
2017-02-21,29.7,21.8,0.00,21.02
2017-02-22,29.6,23.1,1.00,20.78
2017-02-23,27.6,22.6,6.30,14.87
2017-02-24,27.2,22.0,10.20,10.14
2017-02-25,28.4,21.8,10.90,20.90
2017-02-26,27.3,21.7,32.70,16.35
2017-02-27,27.4,21.7,2.70,15.24
2017-02-28,29.3,21.3,1.30,23.26
2017-03-01,28.6,23.1,1.00,22.23
2017-03-02,27.3,22.7,45.90,16.35
2017-03-03,25.4,22.0,17.20,9.36
2017-03-04,25.8,21.1,0.50,15.97
2017-03-05,27.0,22.7,29.60,15.07
2017-03-06,24.1,22.5,62.70,3.95
2017-03-07,26.7,22.1,8.40,11.77
2017-03-08,26.9,22.4,17.40,11.34
2017-03-09,24.4,21.6,16.50,6.07
2017-03-10,28.8,21.8,0.30,18.81
2017-03-11,28.4,22.4,0.50,18.36
2017-03-12,27.4,21.9,4.20,20.39
2017-03-13,28.0,22.2,7.00,18.59
2017-03-14,28.2,22.1,2.30,21.53
2017-03-15,28.4,22.0,6.60,19.66
2017-03-16,28.5,21.7,1.90,19.53
2017-03-17,28.7,22.6,3.50,24.10
2017-03-18,28.1,22.0,3.90,20.02
2017-03-19,28.2,23.0,4.10,19.96
2017-03-20,27.2,21.8,2.70,16.13
2017-03-21,29.6,22.5,0.50,22.89
2017-03-22,28.6,21.6,3.50,19.98
2017-03-23,29.0,22.3,0.00,20.01
2017-03-24,29.5,23.7,1.20,23.69
2017-03-25,28.2,22.8,4.70,20.82
2017-03-26,30.2,22.2,1.20,22.41
2017-03-27,28.6,22.9,13.80,20.35
2017-03-28,27.7,22.4,2.50,15.61
2017-03-29,30.0,22.5,0.00,25.13
2017-03-30,29.5,22.6,1.10,21.82
2017-03-31,27.4,22.6,22.80,14.27
2017-04-01,27.1,22.5,24.20,15.63
2017-04-02,27.5,22.3,6.50,13.86
2017-04-03,28.3,23.3,4.70,21.70
2017-04-04,30.0,22.4,0.00,21.52
2017-04-05,28.6,22.6,7.00,20.93
2017-04-06,28.2,22.7,7.20,18.37
2017-04-07,30.6,22.2,0.10,25.42
2017-04-08,30.1,22.8,0.00,23.37
2017-04-09,30.4,22.3,0.00,25.12
2017-04-10,28.2,22.8,3.20,21.52
2017-04-11,29.0,22.4,1.80,24.02
2017-04-12,28.7,23.0,3.70,21.59
2017-04-13,28.3,23.7,29.60,19.75
2017-04-14,28.3,23.1,4.40,16.70
2017-04-15,29.6,23.3,0.00,24.01
2017-04-16,29.7,22.6,1.20,21.09
2017-04-17,29.4,22.5,4.50,21.39
2017-04-18,29.2,22.8,1.10,24.40
2017-04-19,28.7,23.1,1.20,20.36
2017-04-20,28.2,23.0,7.20,16.05
2017-04-21,28.3,22.6,2.20,19.04
2017-04-22,28.7,23.0,10.30,19.54
2017-04-23,28.1,23.4,20.70,17.31
2017-04-24,29.0,22.4,1.70,23.93
2017-04-25,28.1,22.8,2.30,19.29
2017-04-26,28.5,23.9,0.70,20.63
2017-04-27,28.6,22.8,5.00,18.69
2017-04-28,29.5,23.3,1.50,22.82
2017-04-29,29.8,23.0,8.20,20.00
2017-04-30,29.1,22.8,3.00,19.26
2017-05-01,30.2,23.4,1.10,22.35
2017-05-02,29.9,23.5,6.60,19.53
2017-05-03,28.4,22.5,3.90,15.06
2017-05-04,29.0,23.6,1.60,20.08
2017-05-05,29.3,23.0,1.70,20.12
2017-05-06,27.3,23.4,21.70,13.62
2017-05-07,27.8,22.4,4.40,18.07
2017-05-08,27.4,22.4,3.60,14.24
2017-05-09,28.6,22.7,34.10,15.97
2017-05-10,27.1,23.1,4.40,10.10
2017-05-11,29.3,23.4,1.70,18.52
2017-05-12,28.7,23.2,4.00,15.96
2017-05-13,27.4,24.0,25.10,12.32
2017-05-14,28.8,23.2,19.30,18.38
2017-05-15,27.2,23.0,8.10,13.92
2017-05-16,27.6,23.4,4.10,12.16
2017-05-17,28.2,23.1,2.70,18.04
2017-05-18,29.6,22.9,4.90,19.16
2017-05-19,29.5,23.1,7.10,18.65
2017-05-20,29.6,23.3,5.80,19.45
2017-05-21,28.7,22.9,3.00,16.39
2017-05-22,27.7,23.5,2.30,14.91
2017-05-23,28.7,23.3,0.80,19.57
2017-05-24,29.1,23.4,9.70,16.83
2017-05-25,27.4,23.4,14.90,12.04
2017-05-26,27.7,22.8,7.40,15.96
2017-05-27,29.9,23.3,1.40,20.34
2017-05-28,28.2,23.9,4.50,20.12
2017-05-29,28.8,23.4,12.20,13.89
2017-05-30,28.7,23.0,8.30,14.09
2017-05-31,28.4,23.2,2.00,17.48
2017-06-01,28.0,24.2,0.30,15.90
2017-06-02,29.5,23.3,1.60,20.35
2017-06-03,27.7,22.7,11.80,18.22
2017-06-04,27.8,23.0,7.00,17.84
2017-06-05,28.3,22.6,6.00,18.85
2017-06-06,27.8,22.4,6.80,17.22
2017-06-07,26.5,22.9,7.60,12.62
2017-06-08,26.8,22.5,13.00,10.38
2017-06-09,27.9,22.3,3.00,17.69
2017-06-10,29.1,23.8,1.10,20.06
2017-06-11,29.1,23.7,10.10,19.70
2017-06-12,26.6,22.9,6.60,15.17
2017-06-13,28.9,22.5,6.50,18.35
2017-06-14,28.6,23.0,4.40,17.32
2017-06-15,24.5,21.8,18.00,4.81
2017-06-16,28.7,23.7,0.00,23.36
2017-06-17,28.1,22.6,3.20,14.98
2017-06-18,27.5,22.6,0.60,16.22
2017-06-19,27.8,21.6,8.20,17.60
2017-06-20,27.9,21.5,3.50,19.51
2017-06-21,26.3,22.3,12.40,11.91
2017-06-22,27.3,23.0,0.70,17.73
2017-06-23,28.5,23.2,2.40,21.97
2017-06-24,28.4,22.2,1.40,17.18
2017-06-25,28.6,22.3,6.30,19.89
2017-06-26,27.7,22.3,1.00,18.15
2017-06-27,28.2,22.8,1.20,19.92
2017-06-28,27.6,21.8,4.70,18.13
2017-06-29,26.8,22.8,2.20,14.11
2017-06-30,28.5,21.9,1.00,20.34
2017-07-01,28.0,22.2,2.70,18.33
2017-07-02,26.8,22.4,5.60,15.32
2017-07-03,27.5,22.9,0.70,14.65
2017-07-04,28.2,23.8,0.20,13.54
2017-07-05,27.1,23.8,14.30,18.58
2017-07-06,27.1,22.2,2.40,14.92
2017-07-07,28.6,21.8,3.80,18.88
2017-07-08,27.4,22.4,4.50,15.55
2017-07-09,28.2,22.5,1.50,18.00
2017-07-10,27.2,22.5,5.40,15.51
2017-07-11,26.4,21.9,3.70,10.10
2017-07-12,27.4,22.0,2.10,18.17
2017-07-13,27.2,21.8,2.50,17.16
2017-07-14,27.0,22.9,2.80,16.24
2017-07-15,27.2,21.9,3.70,12.65
2017-07-16,27.0,21.7,19.30,16.93
2017-07-17,26.8,22.4,4.50,14.55
2017-07-18,26.3,22.0,20.70,11.67
2017-07-19,27.5,22.1,8.30,12.41
2017-07-20,25.8,22.6,0.00,8.05
2017-07-21,27.5,23.1,1.30,11.78
2017-07-22,25.2,21.7,2.20,9.18
2017-07-23,27.3,23.0,0.00,18.41
2017-07-24,27.7,22.4,0.70,17.75
2017-07-25,26.5,21.8,1.20,16.24
2017-07-26,28.2,22.3,0.00,20.85
2017-07-27,28.7,22.8,0.20,21.50
2017-07-28,29.1,23.3,0.10,22.25
2017-07-29,27.9,23.3,0.20,19.86
2017-07-30,28.9,23.4,0.90,22.30
2017-07-31,28.3,23.2,1.30,16.60
2017-08-01,27.4,22.4,2.60,12.94
2017-08-02,27.0,22.4,6.70,16.65
2017-08-03,27.4,22.2,5.70,15.79
2017-08-04,28.2,22.9,2.80,20.10
2017-08-05,27.7,23.2,3.60,16.30
2017-08-06,27.9,22.4,6.90,18.17
2017-08-07,28.4,22.3,4.10,18.55
2017-08-08,28.2,22.1,1.50,19.70
2017-08-09,27.9,22.3,8.40,18.04
2017-08-10,27.2,22.9,4.90,12.80
2017-08-11,28.9,23.5,0.50,20.06
2017-08-12,29.1,22.2,3.30,21.63
2017-08-13,27.8,22.7,2.80,18.49
2017-08-14,27.5,22.1,6.10,15.60
2017-08-15,26.5,22.7,3.50,13.41
2017-08-16,27.8,22.4,1.60,18.07
2017-08-17,27.5,22.9,7.00,18.51
2017-08-18,27.1,22.3,5.50,17.38
2017-08-19,27.0,21.8,6.10,16.79
2017-08-20,28.3,22.4,0.30,18.44
2017-08-21,28.5,22.9,1.40,19.41
2017-08-22,27.6,22.4,3.10,15.61
2017-08-23,27.8,22.1,8.10,16.54
2017-08-24,27.8,21.8,2.80,17.41
2017-08-25,28.0,22.0,2.80,21.07
2017-08-26,28.3,23.1,1.70,20.85
2017-08-27,27.2,21.6,5.80,17.77
2017-08-28,27.7,22.5,0.00,19.68
2017-08-29,28.4,22.5,1.50,21.26
2017-08-30,29.0,21.8,4.00,22.36
2017-08-31,28.1,22.4,1.80,20.54
2017-09-01,29.2,23.2,4.40,21.37
2017-09-02,29.8,22.4,1.10,21.91
2017-09-03,29.2,22.7,0.60,19.49
2017-09-04,29.0,21.4,4.30,20.91
2017-09-05,29.2,22.5,1.50,21.42
2017-09-06,28.6,22.7,3.50,20.67
2017-09-07,28.2,23.0,5.70,16.34
2017-09-08,27.6,22.5,0.80,15.13
2017-09-09,28.4,23.3,3.10,20.91
2017-09-10,28.6,22.1,3.50,19.91
2017-09-11,28.4,23.0,7.80,19.35
2017-09-12,28.6,22.3,3.00,20.63
2017-09-13,27.2,23.1,10.00,14.48
2017-09-14,28.5,22.1,0.90,15.09
2017-09-15,27.7,22.5,4.40,17.86
2017-09-16,28.7,22.8,0.60,19.40
2017-09-17,27.5,21.9,3.70,16.88
2017-09-18,27.4,22.3,13.00,15.62
2017-09-19,27.4,22.6,4.80,13.53
2017-09-20,27.8,22.7,3.10,14.68
2017-09-21,25.2,22.9,5.60,5.68
2017-09-22,25.8,21.8,9.70,9.29
2017-09-23,28.0,23.2,0.50,20.11
2017-09-24,29.1,22.9,8.40,20.16
2017-09-25,25.5,22.4,7.00,7.36
2017-09-26,27.8,22.9,0.50,16.39
2017-09-27,29.3,22.6,0.20,16.61
2017-09-28,28.1,22.8,3.30,17.75
2017-09-29,27.4,22.1,5.60,12.71
2017-09-30,27.9,23.8,2.90,19.27
2017-10-01,28.9,22.5,4.80,21.21
2017-10-02,29.0,22.2,2.10,17.62
2017-10-03,26.7,22.9,1.10,14.61
2017-10-04,29.0,21.9,2.70,20.64
2017-10-05,29.1,22.1,3.20,19.89
2017-10-06,27.7,23.8,2.70,18.28
2017-10-07,28.9,22.8,0.70,21.72
2017-10-08,28.3,22.4,1.20,19.01
2017-10-09,28.2,22.9,3.30,18.59
2017-10-10,29.4,23.6,9.30,19.84
2017-10-11,27.7,22.7,4.60,21.22
2017-10-12,28.5,23.0,3.00,20.84
2017-10-13,28.6,23.6,1.90,17.86
2017-10-14,27.4,22.6,13.00,12.80
2017-10-15,26.1,22.5,17.70,9.80
2017-10-16,25.6,22.3,2.80,15.26
2017-10-17,28.1,22.3,7.30,18.39
2017-10-18,25.6,22.1,7.90,11.97
2017-10-19,27.1,22.1,6.30,15.12
2017-10-20,29.8,22.4,1.90,19.15
2017-10-21,28.8,21.8,0.80,19.53
2017-10-22,28.9,21.9,0.50,18.49
2017-10-23,27.2,22.2,1.90,14.59
2017-10-24,27.2,22.2,5.00,16.75
2017-10-25,26.1,22.0,2.70,9.42
2017-10-26,27.3,22.1,4.20,16.58
2017-10-27,26.9,21.8,1.50,16.34
2017-10-28,28.5,23.0,5.60,20.03
2017-10-29,27.8,22.1,0.30,16.44
2017-10-30,27.8,22.6,3.20,15.18
2017-10-31,28.4,22.5,5.60,17.49
2017-11-01,27.8,22.2,5.40,16.58
2017-11-02,26.8,23.2,8.20,12.46
2017-11-03,27.8,22.9,3.40,17.16
2017-11-04,28.5,23.1,4.70,18.43
2017-11-05,29.2,22.7,8.20,18.09
2017-11-06,28.3,22.9,4.40,16.45
2017-11-07,26.8,22.6,5.10,11.76
2017-11-08,27.0,23.5,10.20,13.14
2017-11-09,29.3,22.6,2.40,18.85
2017-11-10,27.6,22.7,45.10,14.92
2017-11-11,25.9,22.6,12.00,7.96
2017-11-12,27.0,22.4,4.10,9.35
2017-11-13,29.8,23.4,1.10,18.27
2017-11-14,28.6,22.5,4.30,18.99
2017-11-15,25.9,22.9,2.30,10.00
2017-11-16,26.5,22.4,2.30,10.45
2017-11-17,28.7,22.3,0.00,19.03
2017-11-18,28.6,23.1,2.00,16.48
2017-11-19,28.5,23.0,3.90,19.26
2017-11-20,28.4,23.0,2.40,14.68
2017-11-21,27.5,23.3,14.30,7.65
2017-11-22,29.3,22.6,1.00,21.57
2017-11-23,28.7,23.7,3.90,19.94
2017-11-24,28.5,22.6,0.90,16.39
2017-11-25,27.4,22.8,4.70,11.10
2017-11-26,27.1,22.2,8.90,8.25
2017-11-27,28.7,23.3,2.10,18.36
2017-11-28,29.7,23.4,0.90,19.03
2017-11-29,27.3,21.9,2.10,14.31
2017-11-30,28.8,22.5,0.70,17.68
2017-12-01,29.9,23.1,1.70,19.08
2017-12-02,28.5,23.2,14.90,17.62
2017-12-03,29.3,22.5,2.10,19.36
2017-12-04,27.7,22.9,0.00,20.32
2017-12-05,27.6,22.3,2.20,16.71
2017-12-06,28.2,22.9,8.50,16.69
2017-12-07,28.6,22.7,8.40,18.40
2017-12-08,27.5,22.7,2.60,17.49
2017-12-09,27.8,22.5,2.80,18.71
2017-12-10,26.8,22.7,2.50,15.29
2017-12-11,27.1,22.7,6.40,13.77
2017-12-12,26.3,22.7,1.70,12.50
2017-12-13,26.5,22.4,10.00,10.59
2017-12-14,26.4,21.9,1.40,13.32
2017-12-15,26.4,22.2,1.20,16.52
2017-12-16,27.8,21.2,0.80,21.07
2017-12-17,28.0,22.9,0.10,20.04
2017-12-18,27.8,22.4,0.80,19.92
2017-12-19,27.9,22.9,6.50,17.93
2017-12-20,27.7,24.0,0.00,16.44
2017-12-21,27.1,22.3,6.20,13.77
2017-12-22,27.5,22.9,2.50,10.67
2017-12-23,27.4,22.7,8.50,14.26
2017-12-24,28.0,23.1,2.90,11.79
2017-12-25,28.6,23.2,2.00,19.27
2017-12-26,29.5,22.0,2.80,19.92
2017-12-27,25.7,22.7,75.00,6.74
2017-12-28,27.2,21.8,8.90,9.10
2017-12-29,27.4,22.5,9.10,17.31
2017-12-30,29.6,21.9,0.10,21.83
2017-12-31,27.6,22.7,0.40,18.48
2018-01-01,27.8,22.7,3.50,13.47
2018-01-02,27.7,22.4,5.90,15.41
2018-01-03,29.1,23.0,9.30,17.36
2018-01-04,28.0,22.8,4.30,13.66
2018-01-05,28.6,22.5,1.30,18.65
2018-01-06,27.4,21.6,0.60,13.53
2018-01-07,28.4,21.8,0.90,18.98
2018-01-08,26.9,22.3,8.80,12.99
2018-01-09,26.6,21.6,8.00,13.66
2018-01-10,27.6,22.4,2.60,18.28
2018-01-11,29.5,22.6,1.20,20.19
2018-01-12,28.0,22.0,1.20,18.05
2018-01-13,26.7,22.7,12.00,15.67
2018-01-14,27.6,21.5,30.40,12.30
2018-01-15,25.0,21.6,3.40,10.58
2018-01-16,26.0,22.1,1.20,13.86
2018-01-17,26.5,21.6,13.10,14.04
2018-01-18,26.7,21.4,1.90,12.05
2018-01-19,28.4,23.1,0.00,17.85
2018-01-20,28.3,21.7,2.60,14.95
2018-01-21,24.6,22.6,4.60,8.91
2018-01-22,26.2,21.6,2.40,9.96
2018-01-23,27.1,22.3,7.90,13.10
2018-01-24,27.2,22.3,11.30,14.73
2018-01-25,27.2,22.6,12.80,16.94
2018-01-26,29.2,21.8,5.20,20.06
2018-01-27,28.3,21.9,6.20,20.15
2018-01-28,27.9,21.6,6.80,19.11
2018-01-29,27.3,22.1,2.30,20.57
2018-01-30,27.2,22.0,1.60,19.28
2018-01-31,26.1,21.6,0.10,11.92
2018-02-01,26.7,22.5,0.10,18.18
2018-02-02,27.4,22.3,101.30,14.96
2018-02-03,28.2,22.0,2.40,16.80
2018-02-04,28.5,21.6,4.30,17.52
2018-02-05,27.4,23.0,4.80,18.29
2018-02-06,27.5,22.2,2.90,16.51
2018-02-07,26.9,21.9,0.80,14.71
2018-02-08,27.8,21.0,0.00,21.52
2018-02-09,26.9,21.4,0.00,19.30
2018-02-10,28.0,23.8,0.00,23.06
2018-02-11,28.4,22.4,2.00,22.27
2018-02-12,26.6,22.9,8.80,11.26
2018-02-13,27.6,22.5,0.60,16.19
2018-02-14,28.3,22.8,2.00,18.98
2018-02-15,28.4,22.1,5.70,17.91
2018-02-16,28.7,22.2,2.50,21.55
2018-02-17,28.0,22.3,6.90,20.44
2018-02-18,28.5,23.1,21.20,17.21
2018-02-19,29.8,22.4,1.30,22.36
2018-02-20,27.3,21.2,7.70,16.86
2018-02-21,30.0,21.4,0.00,26.85
2018-02-22,29.6,22.5,0.50,24.13
2018-02-23,29.0,23.0,1.60,22.19
2018-02-24,25.4,22.6,9.60,7.72
2018-02-25,27.6,22.4,1.50,16.37
2018-02-26,29.7,22.0,0.90,22.06
2018-02-27,28.5,22.3,1.40,20.97
2018-02-28,29.1,22.9,1.30,18.47
2018-03-01,28.9,22.7,0.60,19.93
2018-03-02,26.9,22.5,7.20,14.58
2018-03-03,29.6,22.2,0.10,21.30
2018-03-04,29.9,22.9,0.40,23.48
2018-03-05,29.8,23.0,0.40,24.68
2018-03-06,28.2,23.3,3.00,23.28
2018-03-07,28.8,22.6,3.10,21.77
2018-03-08,27.1,20.8,0.70,21.29
2018-03-09,28.1,21.9,0.50,25.60
2018-03-10,28.4,22.1,2.40,25.91
2018-03-11,29.5,22.6,0.60,22.26
2018-03-12,29.6,22.5,0.00,23.91
2018-03-13,29.9,23.4,1.90,24.92
2018-03-14,27.3,22.6,1.30,17.53
2018-03-15,28.9,22.1,4.00,20.46
2018-03-16,28.7,22.3,0.50,20.74
